"n","methods","avg_regret","std","method_type","setting","lb","ub"
600,"SPO_correct_Clip_Double_Robust",0.243954618465867,0.0851004921443013,"SPO Clip tree Double Robust","Correct linear",0.220365965515468,0.267543271416265
600,"SPO_wrong_Clip_Double_Robust",0.42143932863662,0.0903656292190619,"SPO Clip tree Double Robust","Wrong linear",0.39639125414748,0.446487403125759
800,"SPO_correct_Clip_Double_Robust",0.138069253481433,0.0516982704371068,"SPO Clip tree Double Robust","Correct linear",0.123739224021569,0.152399282941297
800,"SPO_wrong_Clip_Double_Robust",0.322998487363828,0.068052357507971,"SPO Clip tree Double Robust","Wrong linear",0.304135336243738,0.341861638483918
1000,"SPO_correct_Clip_Double_Robust",0.0919008376960162,0.0304833335552265,"SPO Clip tree Double Robust","Correct linear",0.0834512887229479,0.100350386669084
1000,"SPO_wrong_Clip_Double_Robust",0.280126752203096,0.0499891142480904,"SPO Clip tree Double Robust","Wrong linear",0.266270476668325,0.293983027737867
1200,"SPO_correct_Clip_Double_Robust",0.0764328835057338,0.0221074857436189,"SPO Clip tree Double Robust","Correct linear",0.070305001096689,0.0825607659147785
1200,"SPO_wrong_Clip_Double_Robust",0.264344950077859,0.0364987426147651,"SPO Clip tree Double Robust","Wrong linear",0.254228014782047,0.27446188537367
1400,"SPO_correct_Clip_Double_Robust",0.0651385907602866,0.021293233550855,"SPO Clip tree Double Robust","Correct linear",0.0592364075441048,0.0710407739764684
1400,"SPO_wrong_Clip_Double_Robust",0.246875811615892,0.0377919413193869,"SPO Clip tree Double Robust","Wrong linear",0.236400419927285,0.2573512033045
1600,"SPO_correct_Clip_Double_Robust",0.0526536795837126,0.0147801017368807,"SPO Clip tree Double Robust","Correct linear",0.0485568443991206,0.0567505147683046
1600,"SPO_wrong_Clip_Double_Robust",0.232180006185563,0.0270521632201965,"SPO Clip tree Double Robust","Wrong linear",0.224681529106526,0.239678483264599
