"n","methods","avg_regret","std","method_type","setting","lb","ub"
600,"SPO_correct_Clip_Double_Robust",0.249042599866843,0.115199168166512,"SPO Clip tree Double Robust","Correct linear",0.217111019571788,0.280974180161899
600,"SPO_wrong_Clip_Double_Robust",0.433389025853849,0.116293244774977,"SPO Clip tree Double Robust","Wrong linear",0.401154182995112,0.465623868712585
800,"SPO_correct_Clip_Double_Robust",0.149423853670619,0.0760047910711571,"SPO Clip tree Double Robust","Correct linear",0.128356400428339,0.170491306912899
800,"SPO_wrong_Clip_Double_Robust",0.329221674152956,0.0708282018141784,"SPO Clip tree Double Robust","Wrong linear",0.30958909824655,0.348854250059361
1000,"SPO_correct_Clip_Double_Robust",0.105803666728962,0.051687733061027,"SPO Clip tree Double Robust","Correct linear",0.0914765580807302,0.120130775377194
1000,"SPO_wrong_Clip_Double_Robust",0.286762341216438,0.0577754774963406,"SPO Clip tree Double Robust","Wrong linear",0.270747795902248,0.302776886530628
1200,"SPO_correct_Clip_Double_Robust",0.0758867352847594,0.0271448739031799,"SPO Clip tree Double Robust","Correct linear",0.0683625601154936,0.0834109104540251
1200,"SPO_wrong_Clip_Double_Robust",0.261710083912877,0.0358165944697234,"SPO Clip tree Double Robust","Wrong linear",0.251782230436085,0.271637937389668
1400,"SPO_correct_Clip_Double_Robust",0.0605292725209113,0.0173245605198979,"SPO Clip tree Double Robust","Correct linear",0.0557271493448303,0.0653313956969924
1400,"SPO_wrong_Clip_Double_Robust",0.246314914245288,0.0311926708374065,"SPO Clip tree Double Robust","Wrong linear",0.237668747008888,0.254961081481689
1600,"SPO_correct_Clip_Double_Robust",0.0528284887461431,0.0164860508610134,"SPO Clip tree Double Robust","Correct linear",0.04825878858949,0.0573981889027962
1600,"SPO_wrong_Clip_Double_Robust",0.233383549651267,0.0276416397416372,"SPO Clip tree Double Robust","Wrong linear",0.225721678016731,0.241045421285802
